c2,0,1,0.04469,0.00916,0.00138,0.00029
c3,2,2,0.01612,0.01476,0.00120,0.00049
c4,2,2,0.01356,0.01890,0.00141,0.00074
c2c2,0,1,0.01886,0.01258,0.00091,0.00063
c5,4,4,0.02593,0.01708,0.00181,0.00120
c3c2,4,4,0.03234,0.02384,0.00220,0.00156
c7,8,6,0.06768,0.05909,0.00286,0.00212
c8,8,8,0.10111,0.08940,0.00420,0.00307
c2c4,4,4,0.06796,0.05798,0.00298,0.00281
c2c2c2,0,1,0.04346,0.03868,0.00307,0.00258
c9,14,16,0.21678,0.20564,0.00542,0.00458
c3c3,8,16,0.15706,0.15733,0.00441,0.00413
c5c2,12,12,0.27597,0.26962,0.00635,0.00640
c11,20,22,0.80071,0.77565,0.00906,0.00784
c3c4,20,46,1.52765,1.58444,0.01128,0.01003
c3c2c2,10,14,0.67943,0.66507,0.01162,0.00900
c13,28,72,4.21921,4.21167,0.01612,0.01511
c7c2,26,50,4.19748,4.18112,0.01709,0.01912
c5c3,38,308,80.46241,80.70002,0.03452,0.03421
c16,36,190,36.81335,36.90717,0.04289,0.03897
c2c8,24,66,7.00601,7.07895,0.02674,0.02617
c4c4,28,156,24.26331,24.53122,0.03163,0.03201
c2c2c4,8,16,2.09709,2.13114,0.02125,0.02154
c2c2c2c2,0,1,0.89261,0.84152,0.02159,0.01942
c17,48,480,300.18370,304.03381,0.19484,0.10521
c9c2,46,580,N/a,N/a,0.11375,0.10615
c3c3c2,40,880,N/a,N/a,0.11506,0.10559
c19,60,1568,N/a,N/a,0.43061,0.42223
c5c4,58,2358,N/a,N/a,0.28975,0.35063
c5c2c2,40,244,N/a,N/a,0.09189,0.08824
c7c3,74,6856,N/a,N/a,3.33727,3.30731
c11c2,70,3726,N/a,N/a,4.54469,4.62720
c23,88,16128,N/a,N/a,63.06551,67.97503
c3c8,86,27144,N/a,N/a,85.82818,86.83805
c3c2c4,66,5606,N/a,N/a,5.05699,4.95048
c3c2c2c2,30,130,N/a,N/a,0.13932,0.10849
c25,104,71236,N/a,N/a,1598.83941,1084.06641
